Date,Open,High,Low,Close,Adj Close,Volume
1989-11-21,238.020996,238.020996,238.020996,238.020996,90.616394,0
1989-11-22,237.397995,237.397995,237.397995,237.397995,90.379234,0
1989-11-23,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-11-24,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-11-27,241.136993,241.136993,241.136993,241.136993,91.802650,0
1989-11-28,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-11-29,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-11-30,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-12-01,251.106003,251.106003,251.106003,251.106003,95.597977,0
1989-12-04,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-12-05,251.729004,251.729004,251.729004,251.729004,95.835136,0
1989-12-06,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-12-07,252.975998,252.975998,252.975998,252.975998,96.309914,0
1989-12-08,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-12-11,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-12-12,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-12-13,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-12-14,250.483002,250.483002,250.483002,250.483002,95.360764,0
1989-12-15,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-12-18,248.613007,248.613007,248.613007,248.613007,94.648872,0
1989-12-19,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-12-20,244.875000,244.875000,244.875000,244.875000,93.225754,0
1989-12-21,244.251999,244.251999,244.251999,244.251999,92.988602,0
1989-12-22,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-12-25,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-12-26,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-12-27,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-12-28,249.237000,249.237000,249.237000,249.237000,94.886429,0
1989-12-29,249.860001,249.860001,249.860001,249.860001,95.123604,0
1990-01-01,249.860001,249.860001,249.860001,249.860001,95.123604,0
1990-01-02,254.220993,254.220993,254.220993,254.220993,96.783875,5043333
1990-01-03,265.437012,265.437012,265.437012,265.437012,101.053879,4611048
1990-01-04,260.451996,260.451996,260.451996,260.451996,99.156044,5397095
1990-01-05,261.699005,261.699005,261.699005,261.699005,99.630768,4722762
1990-01-08,261.699005,261.699005,261.699005,261.699005,99.630768,1600429
1990-01-09,262.945007,262.945007,262.945007,262.945007,100.105125,1232905
1990-01-10,260.451996,260.451996,260.451996,260.451996,99.156044,1525952
1990-01-11,256.713989,256.713989,256.713989,256.713989,97.732941,1963905
1990-01-12,251.729004,251.729004,251.729004,251.729004,95.835136,1428000
1990-01-15,245.498001,245.498001,245.498001,245.498001,93.462982,3228381
1990-01-16,245.498001,245.498001,245.498001,245.498001,93.462982,766619
1990-01-17,251.729004,251.729004,251.729004,251.729004,95.835136,4093762
1990-01-18,246.744995,246.744995,246.744995,246.744995,93.937683,1588286
1990-01-19,245.498001,245.498001,245.498001,245.498001,93.462982,953619
